# created by LinkChecker at 2017-09-20 04:34:35+000
# Get the newest version at http://wummel.github.io/linkchecker/
# Write comments and bugs to https://github.com/wummel/linkchecker/issues
# Support this project at http://wummel.github.io/linkchecker/donations.html
urlname;parentname;baseref;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
/pdf//.pdf;http://docs;;404 Not Found;;;False;http://docs/pdf/.pdf;1;7409;;-1;169;3.61567997932;0;1;
/pdf//.pdf;http://docs/;;404 Not Found;;;False;http://docs/pdf/.pdf;1;7409;;-1;169;3.61567997932;0;2;
/pdf//.pdf;http://docs/;;404 Not Found;;;False;http://docs/pdf/.pdf;1;7409;;-1;169;3.61567997932;0;2;
/docs/1.9/release-notes/;http://docs/docs/1.10/;;404 Not Found;;;False;http://docs/docs/1.9/release-notes/;1;6743;release notes;-1;169;2.8225030899;0;2;
/docs/1.9/release-notes/;http://docs/docs/1.10/;;404 Not Found;;;False;http://docs/docs/1.9/release-notes/;1;6743;release notes;-1;169;3.04959917068;0;2;
/docs/1.10/installing/;http://docs/docs/1.10/overview/architecture/;;404 Not Found;;;False;http://docs/docs/1.10/installing/;29;30;Installing;-1;169;2.79312205315;0;2;
/docs/1.10/gui/;http://docs/docs/1.10/overview/architecture/;;404 Not Found;;;False;http://docs/docs/1.10/gui/;31;129;GUI;-1;169;2.52046513557;0;2;
/docs/1.10/cli/;http://docs/docs/1.10/overview/architecture/;;404 Not Found;;;False;http://docs/docs/1.10/cli/;31;164;CLI;-1;169;2.53176999092;0;2;
/docs/1.10/administering-clusters/repo/;http://docs/docs/1.10/overview/architecture/;;404 Not Found;;;False;http://docs/docs/1.10/administering-clusters/repo/;31;199;package repository;-1;169;2.66153001785;0;2;
/docs/1.10/administering-clusters/;http://docs/docs/1.10/overview/architecture/node-types/;;404 Not Found;;;False;http://docs/docs/1.10/administering-clusters/;35;30;Securing Your Cluster;-1;169;1.85710501671;0;2;
/docs/1.10/administering-clusters/add-a-node/;http://docs/docs/1.10/overview/architecture/node-types/;;404 Not Found;;;False;http://docs/docs/1.10/administering-clusters/add-a-node/;36;42;Adding Agent Nodes;-1;169;2.31209611893;0;2;
/docs/1.10/administering-clusters/convert-agent-type/;http://docs/docs/1.10/overview/architecture/node-types/;;404 Not Found;;;False;http://docs/docs/1.10/administering-clusters/convert-agent-type/;37;46;Converting Agent Node Types;-1;169;2.32600998878;0;2;
/docs/1.10/deploying-services/;http://docs/docs/1.10/overview/architecture/task-types/;;404 Not Found;;;False;http://docs/docs/1.10/deploying-services/;21;43;Services docs;-1;169;2.38612604141;0;2;
/docs/1.10/installing/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/installing/;88;9;Documentation;-1;169;2.79312205315;0;2;
/docs/1.10/gui/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/gui/;102;9;Documentation;-1;169;2.52046513557;0;2;
/docs/1.10/cli/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/cli/;116;9;Documentation;-1;169;2.53176999092;0;2;
/docs/1.10/deploying-jobs/;http://docs/docs/1.10/overview/architecture/task-types/;;404 Not Found;;;False;http://docs/docs/1.10/deploying-jobs/;22;40;Jobs docs;-1;169;2.34694385529;0;2;
/docs/1.10/deploying-services/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/deploying-services/;139;9;Documentation;-1;169;2.38612604141;0;2;
/docs/1.10/deploying-jobs/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/deploying-jobs/;159;9;Documentation;-1;169;2.34694385529;0;2;
/docs/1.10/deploying-services/marathon-api/;http://docs/docs/1.10/overview/architecture/components/;;404 Not Found;;;False;http://docs/docs/1.10/deploying-services/marathon-api/;141;9;API Reference;-1;169;1.78241300583;0;2;
